date_time,subject,notes,type,ec,ec_pore,ec_bulk,ph,mc,temp,device,media,tags
2026-09-16T15:02:07.910448,ONE-A1F0 - Measurement,1800,measurement,4.69,,,5.49,,22.8,,,
2026-09-16T15:01:42.975676,ONE-A1F0 - Measurement,0 user error,measurement,-0.01,,,6.05,,24.7,,,
2026-09-16T15:01:36.251520,ONE-A1F0 - Measurement,1700,measurement,1.95,,,6.04,,25.1,,,
2026-09-16T15:01:20.777298,ONE-A1F0 - Measurement,1700,measurement,1.97,,,6.13,,25.0,,,1.22
2026-09-16T14:59:50.199978,ONE-A1F0 - Measurement,2100,measurement,1.58,,,6.91,,24.6,,,
2026-09-16T14:59:37.883720,ONE-A1F0 - Measurement,1800,measurement,1.82,,,6.73,,24.7,,,
2026-09-16T14:59:16.955806,ONE-A1F0 - Measurement,1700,measurement,1.54,,,6.26,,25.6,,,
2026-09-16T14:59:05.627463,ONE-A1F0 - Measurement,1700,measurement,1.60,,,6.28,,26.1,,,1.21
2026-09-16T14:58:10.031493,ONE-A1F0 - Measurement,500,measurement,3.51,,,6.12,,24.4,,,
2026-09-16T14:57:50.077738,ONE-A1F0 - Measurement,600,measurement,2.77,,,5.90,,24.6,,,
2026-09-16T14:57:22.861377,ONE-A1F0 - Measurement,1500,measurement,1.87,,,6.24,,25.1,,,
2026-09-16T14:57:13.795182,ONE-A1F0 - Measurement,1500,measurement,1.78,,,6.37,,24.9,,,1.20
2026-09-16T14:55:52.878446,ONE-A1F0 - Measurement,2700,measurement,1.92,,,6.73,,24.8,,,
2026-09-16T14:55:42.268725,ONE-A1F0 - Measurement,2700,measurement,2.02,,,6.66,,24.8,,,
2026-09-16T14:55:20.015401,ONE-A1F0 - Measurement,2200,measurement,1.30,,,6.19,,24.9,,,
2026-09-16T14:55:10.389449,ONE-A1F0 - Measurement,2200,measurement,1.30,,,5.94,,24.8,,,1.19
2026-09-16T14:53:56.557150,ONE-A1F0 - Measurement,2000,measurement,2.26,,,3.97,,23.5,,,
2026-09-16T14:53:47.454021,ONE-A1F0 - Measurement,2000,measurement,2.10,,,4.05,,23.4,,,
2026-09-16T14:53:18.149651,ONE-A1F0 - Measurement,1700,measurement,1.02,,,6.65,,24.5,,,
2026-09-16T14:53:07.711346,ONE-A1F0 - Measurement,1600,measurement,1.03,,,6.58,,24.1,,,1.18
2026-09-16T14:51:43.320607,ONE-A1F0 - Measurement,1000,measurement,1.85,,,6.01,,24.0,,,
2026-09-16T14:51:25.625900,ONE-A1F0 - Measurement,1000,measurement,1.43,,,6.34,,24.3,,,
2026-09-16T14:51:04.711888,ONE-A1F0 - Measurement,600,measurement,1.03,,,6.39,,25.5,,,
2026-09-16T14:50:53.445866,ONE-A1F0 - Measurement,600,measurement,1.04,,,6.33,,25.5,,,1.17
2026-09-16T14:48:26.085267,ONE-A1F0 - Measurement,2000,measurement,2.66,,,6.27,,23.1,,,
2026-09-16T14:48:11.451859,ONE-A1F0 - Measurement,2500,measurement,2.39,,,6.35,,23.1,,,
