date_time,subject,notes,type,ec,ec_pore,ec_bulk,ph,mc,temp,device,media,tags
2026-09-17T15:13:08.363212,ONE-A1F0 - Measurement,3800,measurement,3.39,,,5.20,,22.3,,,
2026-09-17T15:12:58.175963,ONE-A1F0 - Measurement,4100,measurement,2.35,,,5.24,,23.1,,,
2026-09-17T15:12:40.367270,ONE-A1F0 - Measurement,2200,measurement,1.79,,,6.04,,25.0,,,
2026-09-17T15:12:30.960796,ONE-A1F0 - Measurement,2200,measurement,1.80,,,6.16,,24.6,,,1.22
2026-09-17T15:11:23.651234,ONE-A1F0 - Measurement,2100,measurement,1.72,,,6.77,,24.4,,,
2026-09-17T15:11:16.053280,ONE-A1F0 - Measurement,1400,measurement,1.87,,,6.52,,24.7,,,
2026-09-17T15:10:02.880134,ONE-A1F0 - Measurement,1500,measurement,1.51,,,6.25,,25.4,,,
2026-09-17T15:09:51.505900,ONE-A1F0 - Measurement,1600,measurement,1.51,,,6.32,,25.6,,,1.21
2026-09-17T15:08:43.626793,ONE-A1F0 - Measurement,1500,measurement,3.28,,,6.21,,24.0,,,
2026-09-17T15:08:35.215266,ONE-A1F0 - Measurement,1800,measurement,2.65,,,6.31,,24.0,,,
2026-09-17T15:08:24.151525,ONE-A1F0 - Measurement,1700,measurement,1.48,,,6.30,,24.8,,,
2026-09-17T15:08:12.795471,ONE-A1F0 - Measurement,1700,measurement,1.55,,,6.38,,24.6,,,
2026-09-17T15:07:01.631782,ONE-A1F0 - Measurement,1700,measurement,1.98,,,6.69,,24.5,,,
2026-09-17T15:06:49.604940,ONE-A1F0 - Measurement,1700,measurement,1.83,,,6.48,,24.5,,,
2026-09-17T15:06:35.793474,ONE-A1F0 - Measurement,1900,measurement,1.27,,,6.17,,25.1,,,
2026-09-17T15:06:27.472691,ONE-A1F0 - Measurement,2000,measurement,1.28,,,5.62,,24.5,,,1.19
2026-09-17T15:04:57.272818,ONE-A1F0 - Measurement,1000,measurement,1.69,,,4.44,,23.5,,,
2026-09-17T15:04:41.843024,ONE-A1F0 - Measurement,1700,measurement,1.82,,,5.04,,23.7,,,
2026-09-17T15:04:30.554305,ONE-A1F0 - Measurement,1800,measurement,0.63,,,6.66,,24.6,,,
2026-09-17T15:04:16.711282,ONE-A1F0 - Measurement,1700,measurement,0.99,,,6.52,,24.1,,,1.18
2026-09-17T15:02:39.738546,ONE-A1F0 - Measurement,1200,measurement,1.42,,,5.90,,23.0,,,
2026-09-17T15:02:27.133077,ONE-A1F0 - Measurement,1000,measurement,1.30,,,6.11,,23.2,,,
2026-09-17T15:02:12.725591,ONE-A1F0 - Measurement,650,measurement,0.98,,,6.32,,23.7,,,
2026-09-17T15:01:55.186936,ONE-A1F0 - Measurement,550,measurement,1.02,,,6.36,,23.7,,,1.17
2026-09-17T14:59:19.634329,ONE-A1F0 - Measurement,1900,measurement,2.89,,,6.09,,23.1,,,
2026-09-17T14:59:09.554342,ONE-A1F0 - Measurement,1700,measurement,2.43,,,6.19,,23.2,,,
2026-09-17T14:58:58.047875,ONE-A1F0 - Measurement,2000,measurement,1.50,,,6.22,,24.3,,,
2026-09-17T14:58:47.833825,ONE-A1F0 - Measurement,2100,measurement,1.49,,,6.37,,23.6,,,0.27
2026-09-17T14:57:43.423173,ONE-A1F0 - Measurement,1400,measurement,1.71,,,6.61,,21.5,,,
2026-09-17T14:57:34.845819,ONE-A1F0 - Measurement,1400,measurement,2.03,,,6.29,,21.7,,,
2026-09-17T14:57:20.858315,ONE-A1F0 - Measurement,1000,measurement,1.30,,,6.15,,22.0,,,
2026-09-17T14:57:13.892601,ONE-A1F0 - Measurement,1000,measurement,1.37,,,6.08,,21.9,,,
2026-09-17T14:55:55.845830,ONE-A1F0 - Measurement,1100,measurement,2.73,,,5.80,,23.8,,,
2026-09-17T14:55:44.473400,ONE-A1F0 - Measurement,1000,measurement,3.01,,,5.70,,23.8,,,
2026-09-17T14:55:32.777635,ONE-A1F0 - Measurement,1000,measurement,1.52,,,6.12,,24.4,,,
2026-09-17T14:55:24.392824,ONE-A1F0 - Measurement,1000,measurement,1.49,,,6.22,,23.6,,,0.29
2026-09-17T11:28:16.853408,ONE-A1F0 - Measurement,1000,measurement,2.16,,,5.87,,24.8,,,
2026-09-17T11:28:05.254410,ONE-A1F0 - Measurement,1500,measurement,1.91,,,5.90,,24.9,,,
2026-09-17T11:27:45.045288,ONE-A1F0 - Measurement,1000,measurement,1.31,,,6.26,,25.3,,,
2026-09-17T11:27:35.594117,ONE-A1F0 - Measurement,1400,measurement,1.35,,,6.25,,24.6,,,1.28
2026-09-17T11:26:15.138430,ONE-A1F0 - Measurement,No drain,measurement,-0.01,,,6.02,,24.2,,,
2026-09-17T11:26:09.275755,ONE-A1F0 - Measurement,0 no drain,measurement,-0.01,,,6.03,,24.4,,,
2026-09-17T11:26:02.705056,ONE-A1F0 - Measurement,400,measurement,2.44,,,6.03,,24.8,,,
2026-09-17T11:25:48.645552,ONE-A1F0 - Measurement,400,measurement,2.25,,,6.18,,24.4,,,1.30
2026-09-17T11:22:59.495063,ONE-A1F0 - Measurement,2500,measurement,1.91,,,6.35,,24.1,,,
2026-09-17T11:22:52.198816,ONE-A1F0 - Measurement,2400,measurement,1.71,,,6.22,,24.0,,,
2026-09-17T11:22:41.979495,ONE-A1F0 - Measurement,2300 overflowing,measurement,1.31,,,6.22,,24.1,,,
2026-09-17T11:22:18.090403,ONE-A1F0 - Measurement,1900,measurement,1.30,,,6.37,,24.1,,,1.25
2026-09-17T11:21:04.791123,ONE-A1F0 - Measurement,1400,measurement,1.64,,,6.62,,25.0,,,
2026-09-17T11:20:54.137175,ONE-A1F0 - Measurement,2000,measurement,1.45,,,6.76,,25.2,,,
2026-09-17T11:19:53.929400,ONE-A1F0 - Measurement,1000,measurement,1.25,,,6.39,,25.7,,,
2026-09-17T11:19:39.054847,ONE-A1F0 - Measurement,1300,measurement,1.24,,,6.42,,25.4,,,1.27
2026-09-17T11:17:55.750508,ONE-A1F0 - Measurement,1600,measurement,1.59,,,6.51,,25.2,,,
2026-09-17T11:17:26.977401,ONE-A1F0 - Measurement,1700,measurement,1.73,,,6.43,,25.2,,,
2026-09-17T11:17:14.888540,ONE-A1F0 - Measurement,900,measurement,1.72,,,6.06,,25.1,,,
2026-09-17T11:17:02.347283,ONE-A1F0 - Measurement,1100,measurement,2.05,,,5.99,,25.1,,,1.26
2026-09-17T11:14:38.545619,ONE-A1F0 - Measurement,1500,measurement,3.17,,,6.02,,24.0,,,
2026-09-17T11:14:22.616728,ONE-A1F0 - Measurement,2500,measurement,1.94,,,6.55,,24.0,,,
2026-09-17T11:12:57.509525,ONE-A1F0 - Measurement,600,measurement,1.20,,,6.51,,25.0,,,
2026-09-17T11:12:44.511411,ONE-A1F0 - Measurement,600,measurement,1.33,,,6.45,,24.3,,,1.24
2026-09-17T11:09:30.511208,ONE-A1F0 - Measurement,2000,measurement,1.74,,,6.45,,24.6,,,
2026-09-17T11:08:37.202036,ONE-A1F0 - Measurement,2100,measurement,1.57,,,6.16,,24.7,,,
2026-09-17T11:08:13.181687,ONE-A1F0 - Measurement,1900,measurement,1.32,,,6.08,,25.3,,,
2026-09-17T11:07:52.280622,ONE-A1F0 - Measurement,2200,measurement,1.38,,,5.93,,25.1,,,0.32
2026-09-17T11:06:16.189023,ONE-A1F0 - Measurement,500,measurement,3.33,,,4.93,,24.4,,,
2026-09-17T11:05:49.352190,ONE-A1F0 - Measurement,200,measurement,4.11,,,5.45,,24.0,,,
2026-09-17T11:05:24.277389,ONE-A1F0 - Measurement,1200,measurement,2.14,,,5.77,,24.4,,,
2026-09-17T11:05:03.746258,ONE-A1F0 - Measurement,1200,measurement,2.14,,,5.98,,24.5,,,0.33
2026-09-16T15:02:07.910448,ONE-A1F0 - Measurement,1800,measurement,4.69,,,5.49,,22.8,,,
2026-09-16T15:01:42.975676,ONE-A1F0 - Measurement,0 user error,measurement,-0.01,,,6.05,,24.7,,,
2026-09-16T15:01:36.251520,ONE-A1F0 - Measurement,1700,measurement,1.95,,,6.04,,25.1,,,
2026-09-16T15:01:20.777298,ONE-A1F0 - Measurement,1700,measurement,1.97,,,6.13,,25.0,,,1.22
2026-09-16T14:59:50.199978,ONE-A1F0 - Measurement,2100,measurement,1.58,,,6.91,,24.6,,,
2026-09-16T14:59:37.883720,ONE-A1F0 - Measurement,1800,measurement,1.82,,,6.73,,24.7,,,
2026-09-16T14:59:16.955806,ONE-A1F0 - Measurement,1700,measurement,1.54,,,6.26,,25.6,,,
